einladen; convidar (para)
ablehnen, absagen; recusar
annehmen, akzeptieren; aceitar
Einladung; o convite
Gast; o convidado, a convidada

aussteigen, hinabgehen; descer

Nachricht; o recado

Kannst du mir einen Gefallen tun?; Podes fazer-me um favor?
leihen, ausleihen; emprestar

Es tut mir leid.; lamento, lamenta
Wie Schade!; Que pena!

Einkauf, Besorgung; a compra

anfangen, beginnen; começar
aufhören, aufgeben; parar

Entschuldigung; desculpe

anfangs; para começar

Blume; a flor
Mutter; a mãe
Vater; o pai

nervös, aufgeregt; nervoso
ruhig, leise, gelassen; calmo
ruhig, leise; transquilo
nett, lieb; simpático
unangenehm, unsympathisch; antipático
stressig; estressante
alt, betagt; idoso
dünn, schlank; magro
dick, fett, beleibt; gordo
elegant, schick; elegante
unelegant; deselegante
hässlich, fies; feio

Hexe; a bruxa
Ende; o fim

seit; desde

bringen, tragen, holen; trazer
verlieren; perder

sagen, sprechen, reden; dizer
machen, tun; fazer
bringen, tragen, holen; trazer
verlieren; perder
können, dürfen, mögen; poder
wissen, können, verstehen; saber
schlafen; dormir
hören; ouvir
bestellen, bitten; pedir
wollen, verlangen; querer
besitzen, haben; haver
geben; dar
lesen; ler
sehen, beobachten; ver
gehen, laufen, fahren; ir
herausgehen, ausgehen, weggehen; sair
setzen, legen, stellen; pôr
